SEASON,#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1981-1982,135,Steve Mix,75,16.5,7.2,2.7,5.3,50.6,0,0.1,25,1.8,2.3,79.1,1.2,1.8,3,1.2,0.6,0.2,0.9,8.2
1981-1982,136,Larry Smith,74,29.9,7.1,3,5.6,53.4,0,0,0,1.2,2.1,55.3,3.8,7.2,11,1.1,0.9,0.7,1.4,15.9
1981-1982,137,Rudy Macklin,79,19.2,7,2.7,6.1,43.4,0,0,0,1.7,2.2,77.5,1.4,1.9,3.3,0.6,0.5,0.3,1.4,6.3
1981-1982,138,Allan Bristow,82,24.8,7,2.7,6.1,43.7,0,0.2,16.7,1.6,2,81.7,1.5,2.7,4.1,5.5,0.8,0.1,2,11.6
1981-1982,139,Kevin Loder,71,16,6.9,2.9,6.3,46.4,0,0.2,0,1.1,1.5,72,1,1.8,2.7,1.2,0.5,0.4,1,7.1
1981-1982,141,Cedrick Hordges,77,17.8,6.8,2.6,5.4,49.3,0,0.2,23.1,1.5,2.6,58.3,1.5,3.6,5.1,0.8,0.3,0.2,1.4,8.2
1981-1982,142,Larry Nance,80,14.8,6.6,2.8,5.5,52.1,0,0,0,0.9,1.5,64.1,1.2,2,3.2,1,0.5,0.9,1.3,7.8
1981-1982,143,Ben Poquette,82,20.7,6.6,2.7,5.2,51.4,0,0.1,30,1.2,1.5,80.8,1.4,3.6,5,1.1,0.6,0.8,0.8,10.5
1981-1982,144,Pat Cummings,78,14.5,6.5,2.8,5.5,50.9,0,0,0,0.9,1.2,73.6,0.8,2.4,3.1,1.3,0.3,0.1,1.4,6.9
1981-1982,145,Darnell Valentine,82,16.9,6.4,2.3,5.5,41.3,0,0.1,0,1.9,2.4,76,0.6,1.2,1.8,3.3,1.1,0,1.5,7.3
1981-1982,146,Tom Henderson,75,22.9,6.3,2.4,5.4,45.4,0,0,0,1.4,2,70,0.4,1.4,1.8,4.1,0.7,0.1,1.4,8.1
1981-1982,147,Lorenzo Romar,79,15.9,6.2,2.6,5.1,50.4,0,0.2,20,1,1.2,82.3,0.2,1.1,1.2,2.9,0.8,0.2,1.1,7.3
1981-1982,148,Marvin Webster,82,23,6.2,2.4,4.9,49.1,0,0,0,1.3,2.1,63.5,2.2,3.7,6,1.2,0.3,1.1,1.1,10.4
1981-1982,149,Tree Rollins,79,25.5,6.1,2.6,4.4,58.4,0,0,0,1,1.6,61.2,2.1,5.6,7.7,0.7,0.4,2.8,1,14.4
1981-1982,150,Alvin Scott,81,21.5,6,2.3,4.7,49.7,0,0,0,1.3,1.8,73,1.2,2.4,3.6,1.8,0.7,0.9,1.2,9
1981-1982,151,Foots Walker,77,24.2,5.9,2,4.9,41.3,0,0.1,33.3,1.8,2.5,72.7,0.4,1.5,1.9,5.2,1.6,0.1,1.4,9.7
1981-1982,152,Butch Carter,75,13.8,5.9,2.5,5.4,46.8,0.1,0.3,32,0.8,0.9,82.9,0.4,0.7,1.1,0.8,0.5,0.1,0.7,4.6
1981-1982,153,Bill Hanzlik,81,24.4,5.8,2.1,4.4,46.8,0,0,0,1.7,2.2,78.4,1.2,2.1,3.3,2.3,1,0.4,1.3,8.6
1981-1982,154,Rickey Brown,82,15.4,5.7,2.3,5.1,45.9,0,0,0,1,1.5,70.5,1.7,2.8,4.4,0.2,0.4,0.4,1,7
